food_id, food_name, calories, health_scale, image
28,Coca-Cola Zéro Sucre,0.2,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf-Fw4Ngiy7ElJC34PHNG8I0ulr6Gxy-3of60mrZX43ZmrvRVT91ZA3vZliw&amp;s
29,Presssd apple juice drink,23,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbWt-lYQvTMBEv3DBj75YJH2mq5jual6dWji-dPMjt-2V1GCOvglsoI8K4rg&amp;s
30,Coca-Cola,42,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoaC9zMsuJnizi4qBNaYuYJJYzqeCXwkZwg55MOo0EABkPMbShlXueQEhZMw&amp;s
31,Pois chiches boni,504,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsOIqbhG6VmRQP5IfNfJp5ZQhyCLcar7LwIXGcOa-UfcgH0IgLDjrimpH37A&amp;s
32,Marrons entiers,163,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_4sQ7HfKdtdYZdikhHz9QH0HtIlYPcgXTHQpDvK0cCikEXyP0Ear5Il-M0sY&amp;s
33,Tesco Folded Flatbreads Plain 6 Pack,291,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyHqCDXHP0ZozCjHN7VH_WX1dmdCCAm3PyyPQTT2iMExFOlkZStVqgPR2Iv9U&amp;s
34,Huel Black,400,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIzdSC1J28rXs5e7AWjj8-tns5x0L0ALULAtZBw4h6n1Tyd1crpsiU768BGg&amp;s
35,caramel collection,498,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD7nJS_xcyjpY3F80-U80SHcR68ivTWD_q9JUkHvjnb-bt7KAS2YT44jApw5k&amp;s
36,Tunisian extra virgin olive oil,800,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUrI_Hlj2KEfqavWuEJfXKQSvaW8QJQWUqBmhQPKAKpN5qVsybCKv9RYvzrw&amp;s
37,Berry Cocktail Yoghurt,105,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7tyhcrCBp2CzPqQG7wFMcyrvfR3yX9j1SzkNUBbMbZKWHnLFsDF9KS0-Uw70&amp;s
38,Tilapia Fillets,96,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQI_gNvohBEGrVmAsJbL00rEqQ9B3BXg0ph7TsRBIrSWiIBLzSraJRpkYhGyQ&amp;s
39,Extra Virgin Olive Oil,800,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaxNwLoEbJNs8Yabvw2Z70MEgbD1GgXj3oZdXkK2jjTJUHj5a64yL5xG-xJA4&amp;s
40,Vermicelles de Chine en Riz,308,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHI1Q-P5UBDmdFKSrY2sdVm3KWf7lj1C55EwuWgdCem8W31mqGB7eegsG8iQ&amp;s
41,Excellence,47,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6J1unL_h8uTHe_1-ypbuPjyllEEUhNp043aR0GJRW4tMWEGLmu_cOnxusFw&amp;s
42,Instant Noodles Bowl Shrimp,458,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSV8KVtz6Ta-_ffpAxAmWgH6fpz8EVSaGFA0fK2nu_gO_39NlkIUJmzSEpsRos&amp;s
43,Huile d'olive,821,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-5u9b10BevOYUw2XVotJLj9Xww49o2RCmhDkn7y64-qSbp7bLQ66BTR-ZBfA&amp;s
44,Yellow Label Tea,4,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpqRyp-m3pw2bUhHQDestFH0dLpw5D4BM9vGQk-2yMrjyFGlwylLTnFAflapo&amp;s
45,Mini pound cake,404,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVV_O1Fn6pdTsMfLD364OWCmMAFYuuOFrQNRWOfplemIHxiJUIEZjp9nsJlas&amp;s
46,Crisp paprika,446,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQif2LHN0H38G-Be_ZOXnzDwracOBNScrYRNJwwNaOmNQlMQSPxlwcVrGX1Sr4&amp;s
47,Brisures de biscuits,443,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSue4b0oJrysRQUP0jOduzzugC9vhJp-mX82Op76HciUlQUv-F3MqnBpOGP9LY&amp;s
48,Salvado,400,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0q4T8HGTISVWcfHTnSgoem9KJRvbd-d4f28ROgGdMKdSIPY4rJ_gv8zbf8n4&amp;s
49,Milk chocolate egg filled with rolo chocolates,520,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9EVO5MqKMs9b4jqU-SMs5rSzRcbhnL_5AJD5fl906F2eKimbdu8qNJ1BEPA&amp;s
50,Chocolate cake,440,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb0OKWVj6r7sWe00Cok-f5hNnMOAu3UJS491itg4n3Bju16-cwxfrpe74ZPwg&amp;s
51,Milka tuc,515,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYXBY_ktce03PSM7t89UNVhOoFbkY5oj6-xUzfuryWz-Ox4hV7nPdvDPVhDQ&amp;s
52,Oreo cookies golden,486,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhZ2plTnclfcT2k2qudr6FQ9-M__44ItUAwz2b_3TX0mPemBN_CVXaxGb5Mw&amp;s
53,Crackers Express,433,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7ZwMIwOpKp091KuQsYlsENn2qYsw3cLqsytvjVQPzcWpTWrPvSAX7_TVxQ-Y&amp;s
54,Milk Caramel Spread Filled Sandwich Cookies With Chocolate Flavored Coating,426,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNbIpCsRO5bCo_PhHq2ocMWbCfBjqaZhdbxDb0hAWNWPeHoY3-WMM5neYQvQ&amp;s
55,Oreo cookies,479,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRp500VLdXTRy-f_WoVSp7G5IFEQXVLibHan6nUgsP7Xnfnqrj1esbB3iF-LJE&amp;s
56,Toblerone chocolate bar milk,529,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvWBBIXCF36eHWl0rUl1lUO-nR29p4cOo7ZACmCkOjbNM4Leu8NFQjsXhbiy8&amp;s
57,Cadbury milk tray chocolate pieces milk,516,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRa56DqqgsTDxh2zJ7dhOqRdtKrKjwzej4ZCIA-ky32hL3ueg_BiFL6IvPU_Q&amp;s
58,Pirucream,495.2381,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoOydoTkLtaH8JgYglmdNFs6j4XfAbnEolwstT22QAawritSidlauQalyg8A&amp;s
59,Breakfast Biscuits Honey and Nuts,448,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt7hCkLtiY5yLPndHLqphW2o2m7ZCQpkA_ri0VyJ-413dXvGME5m-YRNrTDuI&amp;s
60,Cadbury dairy milk chocolate bar wholenut,550,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3m6c3KyJHkc-fmhXJB_TYg2LtGnhFL3tX4Hvv823SPZ-gNg8bv6MS6NR09w&amp;s
61,CALDO PAELLA,30,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrUjcz6usfFpcDnolFtg2NziU5hZ8JZLe4um-KdYuHmBxD8ifgwspZQ9_EeA&amp;s
62,Vegetable medley with chunk light tuna,96,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEFxpnhsxy4l59VUz91xJYcNoF7DLC-F28Kl5kgw3RPvC4HBiAFi2swY4b3Q&amp;s
63,Heinz Sauce Cocktail,399,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1gfWOCEziafaGCKbvJ26sZuV8fs_eWAhLIezvD-T5BLQufwk4jlALyOPiXw&amp;s
64,Whole berry cranberry sauce,160,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ33bkTB58hnJ1vq1jU7mt1LW1E1d-NOz6yWFA3bGrjnpAUWUxjKP4x7DSW_Q&amp;s
65,Red Wine Vinegar A Blend Of Cabernet Sauvignon Vinegar & Reduced Grape Must Unfiletered Naturally Aged In Oak Barrels,130,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7mQEbrUJi8U6jbulYrH4pOv2hQ9tP_TwkBwt1_XeAY0p4m6zl4MKNyJGcuQ&amp;s
66,Fischsauce,55,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbE4SCiJJuwMicRA4LoBgNuElo62QTZAeTTBnD3EckbTGBPhU50Iu8iv8eHIw&amp;s
67,Maekrua Oyster Sauce,67,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd0mH0te1CP0RU_8bxMyG06xWexRBU-WrfNNB58_68-Ga50oI7J24HtEXPnbg&amp;s
68,Lait De Coco AROY-D 1L,185,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmOF4Kp-SSKf9peVTtjDi-KA4t6bEvMY0OeqfmkfAzLNkfQadKgl6P3JGOqt4&amp;s
69,Altramuces,104,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWN9hdIMDqr2G0LFiYG8nesuVq4-GQ_vx2kNWVvUtXypttrAm7TrrxqO7ZIA&amp;s
70,Bebida de almendra + calcio,148,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSblK5KwBbSW90CJV1wFA7766hhipeP2Y4ejMEVfzxNBVS_SLyjgCHBxHGDZw&amp;s
71,Taekyung Red Pepper Powder,4,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXYDAgshSYb1aaKso5KK60NnJBoDKIBFAjQt7MABLVhLR0EHHPKXfGBwYIwg&amp;s
72,Panettone,377,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOk8_702tchqhW6w2W7QW4ru5qP9lFqLbS7yV3BE8r7DAPUiCNlGqfDRDBrD8&amp;s
73,Original gluco biscuits,466.6667,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYW2LoiLhPByPr9xmgfDGNeNb2KujI0io2gb5ZIIiuE7m8NzviWljreCmS9g&amp;s
74,Gran gelées di zuccheri agrumi,252,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMsaAqw_FNLqyBRWgZjNqRg2m01C06hLY5bYa5cWW2pCT7ls47SWqvWcHozw&amp;s
75,Gemüse Bouillon,4,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9KZDIRyGZDWCfkdEk-7wJjnyYT7fOiutPC0e9kCjc5_E0SNJWE9wtRYl8pg&amp;s
76,Tortillas de trigo,299,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGyuUnV6Maxdyjcskn0c5qb_HCFzG_RiWbd_MDyhTSyGq-3KFzDE5yff2PJw&amp;s
77,Bebida de soja chocolate,71,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSMVWIelxcrObVpoRCUDEShkiR-5MRiFOhnXDQu9V_fvcnzi1lWq_dQyyuYzA&amp;s
78,Margarine,571.4286,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9zghi-Nx9_FiTQb2YIpkOd-qrCz13kYAWvT6S--1anhbryDcy3MNqpCBxVMY&amp;s
79,Cherries in Liqueur,426,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAey9HB6UNXVklsOh0iN9nKKCTEarkrzlAIVQH661KlPIkQsW1iRDjYQmaYQ&amp;s
80,Mehl Universal,337,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPjKBeXUoCXSTD7hoMAQNvIiTni1kCfMzw1iRn4axFFEgXnRy2lWgTYyUqhA&amp;s
81,Rindsgulasch,96,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1ebQlrX66aIqsYyFC31xdGNe-2Jdo6WnXjT7nKRgqeVS4JHYBQZHcwx0FbQ&amp;s
82,Cherry fruit bar,200,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVvTDgR_mGjt2dPSIkJuMXoIwA0zseq1wWj7CRCm_mSL2FAzvMqye0aHyLww&amp;s
83,Maître truffout &quot; truffles&quot;,611,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3x-dXJDPBdYXJl4yxnjD1vu_MDL2hlO92c0nS-z7E5XAJC7edN0Li64F9Yw&amp;s
84,Cracker Mit Sesam 250g Packung Stiratini,449,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2amo7HLrKLw0ehWVK3_xBcTPfAZu42Ak7gtLVot5mfaLpc8QFQTlUMUuKxW0&amp;s
85,Swisse Hair Skin Nails,1,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJVI4cwmUkMlRlwHTf1MWyhp0TgA0NN74C8tcoONH9NbXclpgHmpIR15x7n7Y&amp;s
86,Pâte de curry rouge Ayam™,144,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyztTLSr-6WWOm8x_oTtnjdaYCj6iqY_Qh4z44rWZBgSyp2WlXt5S90SYHav4&amp;s
87,Orange Juice,45.8333,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJdt5lPkjWvUB1qNagrM-cZBy8ZS_4oBI-4tdvs4JT2RlkZTOAXR5tfgOy-GI&amp;s
88,Salted caramel protein balls,470,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMpyhxOt-tH9E_WC6PMfcPCtXoNk9cXDMQJRYI3K8wgk0LE6IQrULdXYX2rEs&amp;s
89,Organic coconut water,35,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEoAeM6DeCRirITd-TnBJYT2Hq2aY094GaubRterq_CNmZu436PqnDFSQMzA&amp;s
91,Creamy peanut butter spread,606,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReo_nV5WoOnoLP_k7z4TrjsDaOtsXEYXfcafK0WQwCreNZYIOf50ISiOaYP3g&amp;s
92,Nabisco mini chips ahoy! real chocolate chip cookies,500,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR68Q56gAlqIdA6Q9vW7MYMAzn3xiStUtQZehPjHB8fr72KoUvKFMCDHUp6Og&amp;s
93,Light Dressing,80,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd9KCrYUOK2poGMwPeg0gdWgladKxLW8k53F-QUtvi80mxCsRFRmxpChZ43Q&amp;s
94,Deluxe Cashews,607,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvs2ew0Z8VlBLQaONpclnd0K8-zOP_23tzlnXxeb4dRQtAc-zqPRSM0_yXNOE&amp;s
95,Entenmann's cake louisiana crunch,394,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJS3QZo_LAWKrp2pL1ks_a03rytTZTo-DwgGFAhDrAC99GkKf0YWm3uZzaLQ&amp;s
96,Food club popcorn butter light,424,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyMD8KeGhvee8DTParGpyY_HUFCqV4dp76eDvGdtDsFYX4SQX-5jlyDu7wkQ&amp;s
97,Sun Sprout Clover Sprouts Clover,29,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGl8aHlxkAz2qsVCWew-nDgxkZiYLPxKHfp96fUtbIBdmzVi3zqF2eAexLHPw&amp;s
98,Haricots certs - green beans,25,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIFwRhDG4FME8C-fEJeO3F-dxdZZQx6fXuQT6a_WvZHBkYcsOc3Qq_Mv9AfSc&amp;s
99,stackerz,150,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS14I12dVfW-NUzPL0UVyarI7fJg8087HdIOFwfyZf1DNa65VPEFjyI_EhHuw0&amp;s
100,Creamy Caesar Yogurt Dressing,45,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcb1GWNxgECxmgm8AawcITJKFGwJFctCGbHwQcEBBrENpCFTbdKM9WSGJLbdQ&amp;s
101,Slow Churned Cookies'n CreamDreyer's Ice Cream,150,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3NXfPF79SqOlaMoiV4cTnBDNRiZtcFV0I816L-_5ElqoDoqlx47iSrctePRs&amp;s
102,Mild coconut korma indian simmer sauce,72,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW3ADeVEVndE1UUSfH2NxwZtziQVusTtfP2YjebadJR0b15Ig6MieLJmoAxvw&amp;s
103,Cookies chocolat noisettes,516,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI9rkWIqnWk7QcTOkB63bhX6XafCS3KWFlramLa2YSjdA7eebBQEZbVrVcsA&amp;s
104,Cabillaud à l’oseille,79,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8CVzKGXDlib00CcoBaLV_EIHvvqFlp5fBQLFQqrRh4oAVZSpS0nhEq83Xt4Y&amp;s
105,Migros rôti anglais,121,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNw3bZ-KCEMl_7mxuF76Ago0DMTR_K7SPO4UBs8vQJc0DFiqSCnThDXYPwHRA&amp;s
106,Whole Milk Fresh Cheese,321,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPeaGuPIC6hMcXX2fflfDMFjJ5QxFCEmrvzjYJmM4t3g3GbHC3uPhv7jDus-E&amp;s
107,Pecan Halves,200,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtCF7rSQjqajt65tkxVZVWlNqnjdoFsN9t9oYAjbv7reBxLjv20xZKW6zv7w&amp;s
108,Original no salt added potato chips original,571,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSarmbmXwuQk24FG0LiOMvzaKYyCzcUSAJCDZXmSZSMxvag5-BTZGoOM9EiYw&amp;s
109,Cheat Spread,577,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBnhh2hMRCgxtVf8b4QjTspMDRFD0j6BMuc17-iSkf1m4m_xqi_HlsZzs0KQ&amp;s
110,Exubérance vanille pecan et caramel,281.818181818182,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8K5rsd-M6kT7oFf7NLoJfk4UCsE-10_JzsuSd0QGCrfGyd9qsLYMxekxD9Q&amp;s
111,Original lemonade original,50,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYRzb1a5-P3H_ZtliXCQr4AsZsmuKEpTFfM-hyzUra4CdCW35XzJiYLWm2Eg&amp;s
112,Wing sauce & glaze,100,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQEMpAIuzFkBSAA4EH5PwAj56cCrqmseuBq9FU0yyzxv4xsoUgf82GRQGhhw&amp;s
113,Sedona spanish queen whole green olives,167,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRon5UoOoJ-w6FALe42OvDmHNaonqsda_9R8ok_XZVmAYnsWUYWB_2Er21h5JI&amp;s
114,Olives Ripe,167,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWpPy2FjHRT9oUDFUJIaB3F2yffR4muA4i6zi3lMDBEsYwebPa-XeAIvSVBAo&amp;s
115,Red Seaweed Pearls,0,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRONQZ9n63lE6WGDrGbBbM0_36PnlsXpB2uDuLsw8XdQVvAykEzAHzaSpchV18&amp;s
116,Vanilla Flavored Sandwich Cookies,440,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmqVvCN5mGDgKc27lD-yJYJpf6j6-obywPcG56mw5E3VwvI13UAKex4gmv87s&amp;s
117,Dark cherry vanilla kombucha,17,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbSWdcUqfhEUAOoePgjoxWugL08rM9D0w7cnW6oTJoT3OCK6cvXhyVcOxSO1Y&amp;s
118,Lingonberry drink concentrate,200,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYAP4zERRTHEZwwoCtj9-3blxj6WlGwIeHNgAcN6UtLuzWItMf5YUTmDiLZQ&amp;s
119,Weis hot sauce,0,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD10t3zyc0YGEDsPP48Gf7hurFGRLXMDiC08RiJgppAymkzeEAnFFRX6xqFg&amp;s
120,Reese's spreads peanut butter chocolate peanut butter chocolate,514,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2XqUNBWT1tXt6JwwmOS69eoqMRQazMmQc0JmVuPysyZ_kLDIQtPDqkrdQHg&amp;s
121,Honey,333,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzwx5gh3vfAulJt5WFHoWflxnxZeEzpxhz2wnn5oLAGSSPaQpgs_YSYNH4-g&amp;s
122,Plain Tortillas,236,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCohbNEa9IueM5MSrU7otlvIE2xLOBNHKV0HokO7JzK0LvCLndMI_Z6Qtbmw&amp;s
