store_id,store_name,store_street,store_city,store_state
158,Feroza's Restaurant Roti,716 Burke Ave,Bronx,NY
159,Barbecue Pit,5788 Mosholu Ave,Bronx,NY
160,Wok Wok Chinese Restaurant,3412 Jerome Ave,Bronx,NY
161,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
162,Hola Espana,5586 Broadway,New York,NY
163,Greek Express,3733 Riverdale Ave,Bronx,NY
164,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,NY
165,Mei Mei Restaurant,2833 Grand Concourse,Bronx,NY
166,P & K Grille,170 W 231st St,Bronx,NY
167,Mike's Deli,2344 Arthur Ave,Bronx,NY
168,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,NY
169,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
170,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,NY
171,Picante Picante,156 W 231st St,Bronx,NY
172,Arthur Avenue Cafe,2329 Arthur Ave,Bronx,NY
173,Broadway Joe's Pizza,5983 Broadway,Bronx,NY
174,VIP's Cafe,131 E Gun Hill Rd,Bronx,NY
175,Rambling House,4292 Katonah Ave,Bronx,NY
176,Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,NY
177,Curry Spot,4268 Katonah Ave,Bronx,NY
178,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,NY
179,El Economico Restaurant,5589 Broadway,Bronx,NY
180,Parrilla Latina Restaurant,2501 Webster Ave,Bronx,NY
181,Rambling House,4292 Katonah Ave,Bronx,NY
182,Curry Spot,4268 Katonah Ave,Bronx,NY
183,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,NY
184,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
185,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,NY
186,Three Boys From Italy,704 Burke Ave,Bronx,NY
187,Eileens Country Kitchen,964 McLean Ave,Yonkers,NY
188,VIP's Cafe,131 E Gun Hill Rd,Bronx,NY
189,Good To Go,1894 Eastchester Rd,Bronx,NY
190,John & Joe's Pizzeria,749 Lydig Ave,Bronx,NY
191,Mei Mei Restaurant,2833 Grand Concourse,Bronx,NY
192,Venezia Pizzeria,1115 Astor Ave,Bronx,NY
193,Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,NY
194,Green Light Cuisine,737 Lydig Ave,Bronx,NY
195,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
196,Feroza's Restaurant Roti,716 Burke Ave,Bronx,NY
197,TGI Fridays,51780 E Gun Hill Rd,Bronx,NY
198,Emilio's Pizza,1051 Morris Park Ave,Bronx,NY
199,Tomo Sushi - Grill,642 Mclean Ave,Yonkers,NY
200,Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,NY
201,Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,NY
202,Panera Bread,340 Baychester Ave,Bronx,NY
203,TGI Fridays,51780 E Gun Hill Rd,Bronx,NY
204,Dallas BBQ,2160 Bartow Ave,Bronx,NY
205,Good To Go,1894 Eastchester Rd,Bronx,NY
206,Pelham Bay Diner,1920 E Gun Hill Rd,Bronx,NY
207,Vegans Delight,3565 Boston Rd,New York,NY
208,Richie Rich Carribean,3357 Fish Ave,Bronx,NY
209,Venezia Pizzeria,1115 Astor Ave,Bronx,NY
210,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,NY
211,Nick's Pizza Restaurant,1356 E Gun Hill Rd,Bronx,NY
212,Dragon City,2102 Bartow Ave,Bronx,NY
213,Red Lobster,2090 Bartow Avenue,Bronx,NY
214,The Dumplin Shop,1530 E 222st,Bronx,NY
215,Checkers,344 Baychester Ave,Bronx,NY
216,Rich Restaurant,2485 Eastchester Rd,Bronx,NY
217,Applebees,2276 Bartow Ave,Bronx,NY
218,Battaglia's Market,2503 Eastchester Rd,Bronx,NY
219,Three Boys From Italy,704 Burke Ave,Bronx,NY
220,Cooyah Restaurant,3563 Boston Rd,New York,NY
221,Good To Go,1894 Eastchester Rd,Bronx,NY
222,Emilio's Pizza,1051 Morris Park Ave,Bronx,NY
223,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,NY
224,John & Joe's Pizzeria,749 Lydig Ave,Bronx,NY
225,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
226,Green Light Cuisine,737 Lydig Ave,Bronx,NY
227,Venezia Pizzeria,1115 Astor Ave,Bronx,NY
228,Mexico Magico,1761 Crosby Ave,Bronx,NY
229,EZ Grill NYC,790 Lydig Ave,Bronx,NY
230,Estrellita Poblana IV,45 Westchester Sq,Bronx,NY
231,Mike's Deli,2344 Arthur Ave,Bronx,NY
232,900 Park,900 Morris Park Ave,Bronx,NY
233,Honey's Thai Pavilion,3036 Westchester Ave,Bronx,NY
234,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
235,Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,NY
236,Taqueria Tlaxcalli,2103 Starling Ave,Bronx,NY
237,Panera Bread,340 Baychester Ave,Bronx,NY
238,Kiraku Sushi,1948 Williamsbridge Rd,Bronx,NY
239,The Grill House,1991 Bronxdale Ave,Bronx,NY
240,Dallas BBQ,2160 Bartow Ave,Bronx,NY
241,Seashore Restaurant & Marina,591 City Island Ave,Bronx,NY
242,Johnny's Reef Restaurant,2 City Island Ave,New York,NY
243,Mexico Magico,1761 Crosby Ave,Bronx,NY
244,Honey's Thai Pavilion,3036 Westchester Ave,Bronx,NY
245,Patricia's of Tremont,3883 E Tremont Ave,Bronx,NY
246,The Wicked Wolf,4029 E Tremont Ave,Bronx,NY
247,La Lupita,3550 E Tremont Ave,Bronx,NY
248,Sushi Q,1610 Crosby Ave,Bronx,NY
249,The Original Crab Shanty Restaurant,361 City Island Ave,Bronx,NY
250,Loretta's Pizza,3276 Layton Ave,Bronx,NY
251,Ice House Cafe and Restaurant,140 Reynolds Ave,Bronx,NY
252,Muscle Maker Grill,4041 E Tremont Ave,Bronx,NY
253,Louie & Ernie's Pizza,1300 Crosby Ave,Bronx,NY
254,Seafood City,459 City Island Ave,Bronx,NY
255,Dallas BBQ,2160 Bartow Ave,Bronx,NY
256,Tony's Pier Restaurant,1 City Island Ave,Bronx,NY
257,Panera Bread,340 Baychester Ave,Bronx,NY
258,The Black Whale,279 City Island Ave,Bronx,NY
259,Crosstown Diner,2880 Bruckner Blvd,Bronx,NY
260,Top Tortillas,3038 Buhre Ave,Bronx,NY
261,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
262,Mike's Deli,2344 Arthur Ave,Bronx,NY
263,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,NY
264,Hola Espana,5586 Broadway,New York,NY
265,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
266,Mei Mei Restaurant,2833 Grand Concourse,Bronx,NY
267,Arthur Avenue Cafe,2329 Arthur Ave,Bronx,NY
268,Greek Express,3733 Riverdale Ave,Bronx,NY
269,P & K Grille,170 W 231st St,Bronx,NY
270,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,NY
271,Picante Picante,156 W 231st St,Bronx,NY
272,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,NY
273,Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,NY
274,Parrilla Latina Restaurant,2501 Webster Ave,Bronx,NY
275,The Bronx Beer Hall,2344 Arthur Ave,Bronx,NY
276,Three Way Restaurant,384 E 188th St,Bronx,NY
277,Gyro King Foods Corporation,50 E Fordham Rd,Bronx,NY
278,Pugsley Pizza,590 E 191st St,Bronx,NY
279,Grandpa's Brick Oven Pizza,4973 Broadway,New York,NY
280,John & Joe's Pizzeria,749 Lydig Ave,Bronx,NY
281,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,NY
282,Grandpa's Brick Oven Pizza,4973 Broadway,New York,NY
283,Cachapas y Mas,107B Dyckman St,New York,NY
284,Beans and Vines,4842 Broadway,New York,NY
285,Elsa La Reina Del Chicharron,4840 Broadway,New York,NY
286,Gyro King Foods Corporation,50 E Fordham Rd,Bronx,NY
287,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
288,Mike's Deli,2344 Arthur Ave,Bronx,NY
289,La Piñata Mexican Grill,4930 Broadway,New York,NY
290,Yummy Thai,4959 Broadway,New York,NY
291,Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,NY
292,Amy's Restaurant,586 W 207th St,New York,NY
293,Golan Heights,2553 Amsterdam Ave,New York,NY
294,Yoly Restaurant,118 Featherbed Ln,Bronx,NY
295,Arthur Avenue Cafe,2329 Arthur Ave,Bronx,NY
296,Three Way Restaurant,384 E 188th St,Bronx,NY
297,Hola Espana,5586 Broadway,New York,NY
298,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
299,Parrilla Latina Restaurant,2501 Webster Ave,Bronx,NY
300,Jimbos Hamburger,1 E Burnside Ave,Bronx,NY
301,Yoly Restaurant,118 Featherbed Ln,Bronx,NY
302,Golan Heights,2553 Amsterdam Ave,New York,NY
303,Tasty Deli,4020 Broadway,New York,NY
304,Cachapas y Mas,107B Dyckman St,New York,NY
305,Tung Thong Thai Restaurant,561 W 169th St,New York,NY
306,Pick and Eat,4179 Broadway,New York,NY
307,Beans and Vines,4842 Broadway,New York,NY
308,Chop Chop,501 W 184th St,New York,NY
309,Margot Restaurant,3822 Broadway,New York,NY
310,El Malecon Restaurant,4141 Bdwy,New York,NY
311,Elsa La Reina Del Chicharron,4840 Broadway,New York,NY
312,Grandpa's Brick Oven Pizza,4973 Broadway,New York,NY
313,La Cabana Salvadorena,4384 Broadway,New York,NY
314,Jimbos Hamburger,1 E Burnside Ave,Bronx,NY
315,Galicia Restaurant,4083 Broadway,New York,NY
316,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,NY
317,Tacos El Paisa,1548 Saint Nicholas Ave,New York,NY
318,Gyro King Foods Corporation,50 E Fordham Rd,Bronx,NY
319,Punto De Sabor,1466 Saint Nicholas Ave,New York,NY
320,El Conde Restaurant,4139 Broadway,New York,NY
321,Parrilla Latina Restaurant,2501 Webster Ave,Bronx,NY
322,Three Way Restaurant,384 E 188th St,Bronx,NY
323,Famous Giovanni's Pizza,2537 Webster Ave,Bronx,NY
324,Applebee's Neighborhood Grill and Bar,4750-4758 3rd Ave,Bronx,NY
325,Tropical Fresh Restaurant,424 E Fordham Road,Bronx,NY
326,Kasike Mofongo House,2458 Webster Ave,Bronx,NY
327,Golden Krust,2521 Webster Ave,Bronx,NY
328,Subway,460 E Fordham Rd,Bronx,NY
329,Applebee's,4750-4758 3rd Ave,Bronx,NY
330,Ivana Pizzeria,2373 Arthur Ave Frnt,Bronx,NY
331,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
332,Mike's Deli,2344 Arthur Ave,Bronx,NY
333,Arthur Avenue Cafe,2329 Arthur Ave,Bronx,NY
334,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
335,El Nuevo Bohio Lechonera,791 E Tremont Ave,Bronx,NY
336,The Bronx Beer Hall,2344 Arthur Ave,Bronx,NY
337,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,NY
338,Linda's Pizza,729 E Tremont Ave,Bronx,NY
339,John & Joe's Pizzeria,749 Lydig Ave,Bronx,NY
340,Three Way Restaurant,384 E 188th St,Bronx,NY
341,Joe's Italian Deli,685 E 187th St,Bronx,NY
342,Yoly Restaurant,118 Featherbed Ln,Bronx,NY
343,Parrilla Latina Restaurant,2501 Webster Ave,Bronx,NY
344,Tasty Deli,4020 Broadway,New York,NY
345,Pugsley Pizza,590 E 191st St,Bronx,NY
346,Green Light Cuisine,737 Lydig Ave,Bronx,NY
347,Gyro King Foods Corporation,50 E Fordham Rd,Bronx,NY
348,Mei Mei Restaurant,2833 Grand Concourse,Bronx,NY
349,Emilio's Pizza,1051 Morris Park Ave,Bronx,NY
350,Tung Thong Thai Restaurant,561 W 169th St,New York,NY
351,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
352,Mike's Deli,2344 Arthur Ave,Bronx,NY
353,Taqueria Tlaxcalli,2103 Starling Ave,Bronx,NY
354,Sabrosura Restaurant,1200 Castle Hill Ave,Bronx,NY
355,El Nuevo Bohio Lechonera,791 E Tremont Ave,Bronx,NY
356,Emilio's Pizza,1051 Morris Park Ave,Bronx,NY
357,Estrellita Poblana,2231 Westchester Ave,Bronx,NY
358,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
359,Arthur Avenue Cafe,2329 Arthur Ave,Bronx,NY
360,John & Joe's Pizzeria,749 Lydig Ave,Bronx,NY
361,Neerob,2109 Starling Ave,Bronx,NY
362,Green Light Cuisine,737 Lydig Ave,Bronx,NY
363,900 Park,900 Morris Park Ave,Bronx,NY
364,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,NY
365,Good To Go,1894 Eastchester Rd,Bronx,NY
366,The Bronx Beer Hall,2344 Arthur Ave,Bronx,NY
367,Estrellita Poblana IV,45 Westchester Sq,Bronx,NY
368,The Grill House,1991 Bronxdale Ave,Bronx,NY
369,Linda's Pizza,729 E Tremont Ave,Bronx,NY
370,Jimmy's Cafe Restaurant,905 White Plains Rd,Bronx,NY
371,Tasty Deli,4020 Broadway,New York,NY
372,Tung Thong Thai Restaurant,561 W 169th St,New York,NY
373,Margot Restaurant,3822 Broadway,New York,NY
374,Molino Rojo Restaurant,101 E 161st St,Bronx,NY
375,Charles' Country Pan Fried Chicken,2839-2841 Frederick Douglass Blvd,New York,NY
376,GoGo-Gi,3908 Broadway,New York,NY
377,Yoly Restaurant,118 Featherbed Ln,Bronx,NY
378,Sam's Soul Food Restaurant Bar & Lounge,596-598 Grand Concourse,Bronx,NY
379,Las Palmas Deli Restaurant,3891 Broadway,New York,NY
380,Franco's,295 E 149th St,New York,NY
381,Hard Rock Cafe,Yankee Stadium,Bronx,NY
382,Jou Jou,603 W 168th St,New York,NY
383,El Malecon Restaurant,4141 Bdwy,New York,NY
384,Strokos,1121 Saint Nicholas Ave,New York,NY
385,NYY Steak,1 E 161st St,Bronx,NY
386,Pick and Eat,4179 Broadway,New York,NY
387,Shangri-La Restaurant,228 Fort Washington Ave,New York,NY
388,Galicia Restaurant,4083 Broadway,New York,NY
389,Chipotle Mexican Grill,4009 Broadway,New York,NY
390,Coogan's,4015 Broadway,New York,NY
391,Franco's,295 E 149th St,New York,NY
392,Sam's Soul Food Restaurant Bar & Lounge,596-598 Grand Concourse,Bronx,NY
393,Lucho Barrios Restaurant,516 Courtlandt Ave,Bronx,NY
394,Fresco Pizza and Pasta,560 E 149th St,Bronx,NY
395,Robles Pizzeria  & Restaurant,424 E 161 St,Bronx,NY
396,Hard Rock Cafe,Yankee Stadium,Bronx,NY
397,Molino Rojo Restaurant,101 E 161st St,Bronx,NY
398,Angies Cafe & Pizza,2559 3rd Ave,Bronx,NY
399,Merry Land Chinese Buffet,511 E 163rd Street,Bronx,NY
400,Xochimilco Family Restaurant,653 Melrose Ave,Bronx,NY
401,Mexicozina,444 E 149th St,Bronx,NY
402,Marisco Centro,610 Exterior St,New York,NY
403,El Nuevo Bohio,167th St & Webster Ave,Bronx,NY
404,NYY Steak,1 E 161st St,Bronx,NY
405,Charles' Country Pan Fried Chicken,2839-2841 Frederick Douglass Blvd,New York,NY
406,Merry Land Chinese Restaurant,325 E 149th St,Bronx,NY
407,La Morada Restaurant,308 Willis Ave,Bronx,NY
408,Crown Donut Restaurant,79 E 161st St,Bronx,NY
409,Real Azteca,1013 E 163rd St,Bronx,NY
410,Giovanni's Restaurant,579 Grand Concourse,Bronx,NY
411,Franco's,295 E 149th St,New York,NY
412,Sam's Soul Food Restaurant Bar & Lounge,596-598 Grand Concourse,Bronx,NY
413,Angies Cafe & Pizza,2559 3rd Ave,Bronx,NY
414,Lucho Barrios Restaurant,516 Courtlandt Ave,Bronx,NY
415,Charlie's Place,1960 Madison Ave,New York,NY
416,Fresco Pizza and Pasta,560 E 149th St,Bronx,NY
417,Island Salad,22 E 125th St,New York,NY
418,Makana,2245 1st Ave,New York,NY
419,Jacob Restaurant,373 Lenox Ave,New York,NY
420,Charles' Country Pan Fried Chicken,2839-2841 Frederick Douglass Blvd,New York,NY
421,Elsie's Caribbean Cafe,2291 7th Ave,New York,NY
422,Mama's Restaurant,2347 2nd Ave,New York,NY
423,Keur Sokhna Restaurant,2249 Adam Clayton Powell Jr Blvd,Harlem,NY
424,Hard Rock Cafe,Yankee Stadium,Bronx,NY
425,Café Ollin,339 E 108th St,New York,NY
426,Patsy's Pizzeria,2287 1st Ave,New York,NY
427,Sylvia's Restaurant,328 Malcolm X Blvd,New York,NY
428,Robles Pizzeria  & Restaurant,424 E 161 St,Bronx,NY
429,Molino Rojo Restaurant,101 E 161st St,Bronx,NY
430,Tasty Deli,4020 Broadway,New York,NY
431,Franco's,295 E 149th St,New York,NY
432,Fresco Pizza and Pasta,560 E 149th St,Bronx,NY
433,Lucho Barrios Restaurant,516 Courtlandt Ave,Bronx,NY
434,Angies Cafe & Pizza,2559 3rd Ave,Bronx,NY
435,Sam's Soul Food Restaurant Bar & Lounge,596-598 Grand Concourse,Bronx,NY
436,Mexicozina,444 E 149th St,Bronx,NY
437,La Morada Restaurant,308 Willis Ave,Bronx,NY
438,Patsy's Pizzeria,2287 1st Ave,New York,NY
439,Xochimilco Family Restaurant,653 Melrose Ave,Bronx,NY
440,Pio Pio,264 Cypress Ave,Bronx,NY
441,Merry Land Chinese Restaurant,325 E 149th St,Bronx,NY
442,The Locust Restaurant,305 Locust Ave,Bronx,NY
443,El Valle Restaurant,794 Southern Blvd,Bronx,NY
444,Real Azteca,1013 E 163rd St,Bronx,NY
445,Marisco Centro,610 Exterior St,New York,NY
446,Sea Food Kingz,145 Bruckner Blvd,Bronx,NY
447,Ceetay,129 Alexander Ave,Bronx,NY
448,El Valle Restaurant,450 E 149th St,New York,NY
449,Giovanni's Restaurant,579 Grand Concourse,Bronx,NY
450,Picanteria El Botecito Corporation,151 Bruckner Boulevard,Bronx,NY
451,Real Azteca,1013 E 163rd St,Bronx,NY
452,Fresco Pizza and Pasta,560 E 149th St,Bronx,NY
453,Mogridder's BBQ,565 Hunts Point Ave,Bronx,NY
